gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
SMAD9-IT1,Ast,-0.674216603595575,1.08147345314843,7.65594889459514,0.00691671240111473,0.243691615049293,0.272202117334301,High_vs_Not_AD
FREM2-AS1,Ast,-0.826448622805439,0.581137761695903,4.35200965749914,0.0397033312372242,0.369219159657856,0.368401321331818,High_vs_Not_AD
AL138960.1,Ast,0.701201792145807,0.932957514118301,8.51581492110079,0.00447773635175058,0.211691950317525,0.247094693806162,High_vs_Not_AD
SLC25A30-AS1,Ast,0.510818584672788,0.785715106570652,4.02734150475358,0.0477793855733621,0.38815365373817,0.385346400689063,High_vs_Not_AD
CPB2,Ast,-0.853226690116527,2.12736579955388,5.59701194371877,0.020331238399471,0.311807021858251,0.325815397326588,High_vs_Not_AD
CAB39L,Ast,0.625298307442266,7.41914796075205,11.0705330532666,0.00131148887219853,0.131302923946289,0.178883660508215,High_vs_Not_AD
TMEM272,Ast,-0.732928368511276,0.909917076035642,11.6263166956637,0.000982614494112044,0.12290087235783,0.16373475961811,High_vs_Not_AD
HNRNPA1L2,Ast,0.57545323616903,0.404125233308677,4.92721946483467,0.0288115313190357,0.339871670990467,0.346424975249518,High_vs_Not_AD
LINC00558,Ast,2.25080305409753,1.15807913436916,17.2942283448642,7.25512919371652e-05,0.0576028237464317,0.0809312815963075,High_vs_Not_AD
PCDH17,Ast,0.58318747311129,6.5545830132697,9.54077098789832,0.00273795409988685,0.169301093235683,0.2200707805738,High_vs_Not_AD
AL590807.1,Ast,0.830090373968441,5.72944291584793,6.74346584916522,0.0111379898428821,0.271744213173897,0.296949702349418,High_vs_Not_AD
AL162493.1,Ast,0.980243301820693,1.60576134455762,5.84419458140926,0.0177900244606952,0.300133373463136,0.316793790277724,High_vs_Not_AD
MIR4500HG,Ast,-0.500213937392597,2.04567819727463,5.39394265066842,0.0226643779725514,0.321950792342684,0.3303663996651,High_vs_Not_AD
GPC6,Ast,-1.03554195445174,6.74596927208801,15.7281092706361,0.000155004191224619,0.0715506556190109,0.0989273764321783,High_vs_Not_AD
HS6ST3,Ast,-0.611531046274923,5.95517767588249,7.89700219709548,0.00618216416953596,0.235980339617537,0.266881346604508,High_vs_Not_AD
GPR183,Ast,-0.798634009211938,0.327107198521487,4.43829359245055,0.0376982477501608,0.365698288295681,0.364592012150515,High_vs_Not_AD
AL353697.1,Ast,-0.741432064388036,1.70546002426432,4.63274710792626,0.0342582531215724,0.356016788591671,0.357935645291455,High_vs_Not_AD
