Mic	Oli	Ast	OPC	Inh	Ext
NFIX	0	0.675751881022244	100	48.4747327613096	0	0
NFIB	0	0	100	48.3686542862115	0	0
EN1	0	0	100	2.73871860153067	34.3250402979716	0
GSX1	0	0	100	0	28.9951532080429	0
GBX2	0	0	100	0	48.268549022768	0
PAX4	0	0	100	1.48172685505541	28.3569686408307	0
NOTO	0	0	100	1.46159039701364	37.5586974749498	0
NKX11	0	0	100	0.491053394274701	46.9781033779055	0
ENSG00000229544	0	0	100	5.87475193211606	59.0481578544668	0
PRRX1	0	0	100	0.562564648318928	17.5021112860022	0
LHX9	0	0	100	0.562564648318928	17.5021112860022	0
PRRX2	0	0	100	0.562564648318928	17.5021112860022	0
SHOX2	0	0	100	0.562564648318928	17.5021112860022	0
RAX2	0	0	100	0.562564648318928	17.5021112860022	0
ISX	0	0	100	0.562564648318928	17.5021112860022	0
SHOX	0	0	100	0.562564648318928	17.5021112860022	0
GBX1	0	0	100	2.10685257208449	54.8800062624726	0
NR1D2	0	0	100	0	6.58419084165847	0
MIXL1	0	0	100	0.118226996442497	13.8801148452823	0
RORB	0	0	100	0	4.40544890676612	0
LMX1A	0	0	100	2.32650037211863	11.8788895839916	0
TLX1	0	0	100	13.4323426084823	3.64944429776455	0.174174964007068
TLX3	0	0	100	13.4323426084823	3.64944429776455	0.174174964007068
HOXA1	0	0	100	0	44.8913891273063	0
ESX1	0	0	100	2.00879948017464	42.5809111500195	0
BSX	0	0	100	0	14.658522894173	0
GSX2	0	0	100	0	18.1786460019096	0
VSX1	0	0	100	0.429309556074677	59.2819995069949	0
VTN	0	0	100	0	26.5170674479418	0
LHX2	0	0	100	2.33003804030592	48.516599749665	0
RORA	0	0	100	0	11.5705743423892	0
HESX1	0	0	100	3.42848209768076	44.072845665717	0
ALX3	0	0	100	0	54.4114116929631	0
RFX6	0	0	100	0	0	8.75839489733939
HLX	0	0	100	0	44.8321369820335	0
AC0125311	0	0	100	0	44.8321369820335	0
