symbol,LS,Correlation,FDR,mLog10pval,TF,Stage,Cell
PRKCQ,27.8175128893676,0.88603347819293,4.41815597654092e-166,2.01439239143463,SOX13,Not,Oli
ZC3H13,24.6742718320449,0.884190285874061,1.82326589709042e-164,3.09519478358986,SOX13,Not,Oli
R3HCC1,18.8471404689662,0.875592677754566,2.81142114096991e-157,2.08726759984388,SOX13,Not,Oli
ZNF488,16.5613137145181,0.871126420056379,9.38425475872174e-154,2.55293761758408,SOX13,Not,Oli
GATM,28.8987424400748,0.870829586481189,1.59133826626096e-153,4.75935798967681,SOX13,Not,Oli
DDO,21.3117482428206,0.86208058658492,5.21592042907805e-147,2.19496552173163,SOX13,Not,Oli
SH3GL3,17.4300903095182,0.855687901070622,1.58081477272481e-142,2.43006397497893,SOX13,Not,Oli
UBE2R2,11.9061695407101,0.852409251606152,2.59409783690223e-140,2.34944119850732,SOX13,Not,Oli
ATP8A1,13.7636468549521,0.849917567723116,1.15411176777283e-138,3.0900431759527,SOX13,Not,Oli
RERE,17.202969738167,0.848081717510129,1.80895863537538e-137,2.28223385043756,SOX13,Not,Oli
KIF1B,32.7041218227455,0.836903183810965,1.60788346443086e-130,2.8224944698322,SOX13,Not,Oli
ZNF713,11.566159714289,0.831099585362887,4.04927120347559e-127,2.08726759984388,SOX13,Not,Oli
ACYP2,19.1580040086959,0.829073653321634,5.82347874598127e-126,3.0900431759527,SOX13,Not,Oli
KIAA1324L,15.1470735134111,0.812744708852804,3.6723627116177e-117,2.28223385043756,SOX13,Not,Oli
DUBR,27.4541857389905,0.809046854167812,2.73104471946003e-115,2.22973337043741,SOX13,Not,Oli
NOP14-AS1,16.4434849938197,0.806991060336048,2.8781934398925e-114,2.37498996315569,SOX13,Not,Oli
LIN54,14.8659778907537,0.800612975684259,3.59427770323832e-111,2.69281944018579,SOX13,Not,Oli
PTPN11,10.4999303538523,0.799348933567366,1.43144002651394e-110,2.34944119850732,SOX13,Not,Oli
DEPDC1B,18.6151961053964,0.783539843830547,2.11713340652013e-103,2.00411053317408,SOX13,Not,Oli
MARCH1,10.3639429424733,0.77980177033794,8.58664885001411e-102,2.88805805023372,SOX13,Not,Oli
